Metric,Value
Accuracy,0.7373935821872953
Precision,0.7593435164120897
Recall,0.6871048375238935
F1 Score,0.7214203010420687
ROC AUC,0.8054321349610871
10-Fold CV Accuracy,0.7342968303793727
